PlayerID,Occupation,Name,MatchedSocCode,MatchedSocCore,MatchedSocTitle
4504,paralegal,Megan Maxwell,23-2011,Paralegals and Legal Assistants,Paralegal
4507,homemaker,Deb Brady,Unemployed,Unemployed,Homemaker
4506,pre-need funeral counselor,Stewart Myrent,False,,
4501,retired federal employee,Marvene Horwitz,False,,
4500,teacher and graduate student,Cora Peck,GradStu,Graduate student,Graduate student
4503,freelance web designer,Jeffrey Coogan,False,,
4502,chef,Joseph Maher,False,,
4509,legislative aide,Dan Pawson,False,,
4508,mailman,Wendell Watkins,False,,
2088,foreign service officer,Bong Miquiabas,False,,
2089,senior at the University of Notre Dame,Andrew Nerlinger,TournSenior,TournStudent,Senior
2082,systems engineer,Matt Wauben,17-MiscEngineer,MiscEngineer,Engineer
2083,superior court clerk,Maureen Holihan,False,,
2080,bookstore manager,Thomas Talbot,False,,
2081,market researcher,Bill Weylock,False,,
2086,administrator,Mary-Beth Prokop,False,,
2087,alumni and development coordinator,Sherri Rowton,False,,
2084,project manager,Ann Sanders,False,,
2085,management analyst,Trevor Norris,13-1111,Management Analysts,Management Analyst
9005,"personal trainer, filmmaker, and singer",Tom Kavanaugh,False,,
7319,percussionist,Joe McKee,27-2042,Musicians and Singers,Percussionist
7318,office manager,Grant Wing,False,,
7315,professor emeritus,Virginia Ogozalek,25-MiscTeacher,Teacher,Teacher
7314,writing instructor,Sarah Canfield Fuller,25-Prof,MiscProfessor,Professor
7317,public radio producer,Ian Pickus,False,,
7316,reporter and editor,Denis Theriault,False,,
7311,attorney,Chuck Narikiyo,23-MiscLaywer,MiscLawer,MiscLawyer
7310,freelance editor,KC Frodyma,False,,
7313,social worker,Andy Levin,False,,
7312,graduate student of cognitive neuroscience,Emily Barkley-Levenson,GradStu,Graduate student,Graduate student
7030,pastor,Tommy Jordan,21-2011,Clergy,Pastor
7031,conservation technician,Megan Griffiths,25-4013,Museum Technicians and Conservators,Conservation Technician
7032,stay-at-home mom,Kathleen Mikulis,Unemployed,Unemployed,stay-at-home mom
7033,business student,Mike Wilson,MiscStudent,MiscStudent,Student
7034,technical editor,Mary Van Tyne,27-3041,Editors,Technical Editor
7035,mathematician,Ari Stern,15-2021,Mathematicians,Mathematician
7036,farmers' market coordinator,Pam Jones-Pigott,False,,
7037,business analyst,Reggie LaFond,13-1111,Management Analysts,Business Analyst
7038,corporate lawyer,Jesse Cuevas,23-MiscLaywer,MiscLawer,MiscLawyer
7039,trade magazine reporter and editor,Laura Spadanuta,False,,
9018,entertainment litigation attorney,Jessica Guard,23-MiscLaywer,MiscLawer,MiscLawyer
9019,justice of the peace,Bruce Leaman,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Justice of The Peace
7788,baker and philosophy instructor,Matt Johnson,25-Prof,MiscProfessor,Professor
7789,human resources analyst,Derek Rolstone,False,,
7786,magazine editor,Mike Garrett,False,,
7787,editorial specialist,Andrea Korte,False,,
7784,rural letter carrier,Nathan Fuller,False,,
7785,health insurance contract specialist,Cindy Vanderbur,False,,
7782,university public relations director,Amy Drittler,False,,
7783,retired English professor,Carol Golliher,25-MiscTeacher,Teacher,Teacher
7780,librarian,Trish Little-Taylor,25-4021CU,MiscLibrarian,Librarian
7781,professor of art history,Kerr Houston,25-MiscTeacher,Teacher,Teacher
1009,advertising copywriter,Kevin Gillogly,27-Writer,MiscWriter,Writer
1008,temporary secretary,Erik Larsen,False,,
1007,housewife,Isabel Leininger,Unemployed,Unemployed,Housewife
1006,attorney,David Marcus,23-MiscLaywer,MiscLawer,MiscLawyer
1005,systems analyst,Freddye Silverman,False,,
1004,lumber salesman,Larry Minton,False,,
1003,shopping mall manager,Dennis Shirilla,False,,
1002,teacher,Susan Davis,25-MiscTeacher,Teacher,Teacher
1001,senior,Andrew McGeorge,TournSenior,TournStudent,Senior
1000,senior,Peji Ghanouni,TournSenior,TournStudent,Senior
4349,medical biller,Debbie Fawcett,False,,
4348,environmental scientist,Chris Schlekat,19-2041,"Environmental Scientists and Specialists, Including Health",Environmental Scientist
4347,research scientist,Paul Glaser,False,,
4346,chemical engineer,Susan Mitchell,17-MiscEngineer,MiscEngineer,Engineer
4345,university administrator,Jeff Spoeri,11-9033,"Education Administrators, Postsecondary",University Administrator
4344,graduate student of international relations,Mehrun Etebari,GradStu,Graduate student,Graduate student
4343,law professor,Cathy Lanctot,25-MiscTeacher,Teacher,Teacher
4342,assistant professor,Chris Mazurek,25-MiscTeacher,Teacher,Teacher
4341,executive editor,Lucia Macro,False,,
4340,student,Kyle Brittain,MiscStudent,MiscStudent,Student
8615,from ...,Chub Feeney,SpecialGuest,Special Guest,Special Guest
8614,11-year-old fifth grader,Zoë Assasie,SpecialGuest,Special Guest,Special Guest
8617,from ...,Joe Pipp,SpecialGuest,Special Guest,Special Guest
8616,from ...,Leslie Johnson-Kelsey,SpecialGuest,Special Guest,Special Guest
8611,creative director,Paul Hill,False,,
8610,product manager,Ellen Kaufman,False,,
8613,11-year-old sixth grader,Jonathan Shoemaker,SpecialGuest,Special Guest,Special Guest
8612,12-year-old seventh grader,Erin Wenokur,SpecialGuest,Special Guest,Special Guest
8619,10-year-old fifth grader,Sallie Rawlston,SpecialGuest,Special Guest,Special Guest
8618,11-year-old sixth grader,John Wilkins,SpecialGuest,Special Guest,Special Guest
5719,technical editor,Laura Mitchell,27-3041,Editors,Technical Editor
5718,stay-at-home dad,Michael Vesely,False,,
5717,corporate trainer,Frank Lynch,13-1151,Training and Development Specialists,Corporate Trainer
5716,administrative assistant,Katie Stillgebauer,False,,
5715,project coordinator,Robin Gardner,False,,
5714,web development intern,Laura Chan,False,,
5713,economics student,David Vermillion,MiscStudent,MiscStudent,Student
5712,eighth grade teacher,Danielle Lepore,25-MiscTeacher,Teacher,Teacher
5711,design director,Jennifer Garman,False,,
5710,graduate student,Nathaniel Ellis,GradStu,Graduate student,Graduate student
3305,strategic consultant,Mike Zarren,False,,
3575,librarian,Will Porter,25-4021CU,MiscLibrarian,Librarian
3574,homemaker,Jennifer Gotcher,Unemployed,Unemployed,Homemaker
3577,professor of education,Pat Cantor,25-MiscTeacher,Teacher,Teacher
7816,TV host,Dana Perino,False,,
7817,Basketball Hall of Famer and all-time leading scorer,Kareem Abdul-Jabbar,False,,
7814,TV host,Chris Matthews,False,,
3576,prosecutor,Tom Gort,23-1011,Lawyers,Prosecutor
7812,former press secretary,Robert Gibbs,False,,
7813,aviation and regulation correspondent,Lizzie O'Leary,False,,
7810,senior,Gabriela Gonzales,TournSenior,TournStudent,Senior
7811,sophomore,Evan Eschliman,TournSophomore,TournStudent,Sophomore
3571,sociology professor,Carla Eastis,25-MiscTeacher,Teacher,Teacher
7818,TV host,Chris Wallace,False,,
3570,logistics manager,Ted Kenniston,11-3071,"Transportation, Storage, and Distribution Managers",Logistics Manager
3573,Internet engineer,Albert Chi,17-MiscEngineer,MiscEngineer,Engineer
3572,graduate student,Rachel Campbell,GradStu,Graduate student,Graduate student
2666,office manager,Jeff Horn,False,,
2667,logistics management specialist,Jennifer Knierim,False,,
2664,graduate student,Wesley Eddings,GradStu,Graduate student,Graduate student
2665,jazz critic and author,Neil Tesser,False,,
2662,journalist,Benjamin Tomkins,False,,
2663,stay-at-home mom,Tracy Parrish Wolfe,Unemployed,Unemployed,stay-at-home mom
2660,"from Los Angeles, California...",Jack Campion,SpecialGuest,Special Guest,Special Guest
2661,"from Lomita, California...",Karen Muranaka,SpecialGuest,Special Guest,Special Guest
1829,congressional staffer,John Dickas,False,,
1828,reporter,Lisa Levenson,False,,
1825,Army captain,Kemp Chester,False,,
1824,civil engineer,Russell Redder,17-MiscEngineer,MiscEngineer,Engineer
1827,financial analyst,Mike Vethacke,False,,
1826,college professor,Deborah Danzis,25-MiscTeacher,Teacher,Teacher
1821,golf professional,Matt Anderson,False,,
1820,law student,Randy Juip,MiscStudent,MiscStudent,Student
1823,high school teacher,Vicki Deniston Reed,25-MiscTeacher,Teacher,Teacher
1822,actor,Andy Lukich,27-2099CU,Actor,Actor
2147,assistant attorney general,Kathy Damstra,23-MiscLaywer,MiscLawer,MiscLawyer
2146,music director,Theresa Larson,27-2041,Music Directors and Composers,Music Director
2413,elementary school teacher,Danielle Yermish,25-MiscTeacher,Teacher,Teacher
2412,animal trainer,James Dew,39-2011,Animal Trainers,Animal Trainer
4978,11-year-old,Kendra Pettis,SpecialGuest,Special Guest,Special Guest
4979,11-year-old,Dmitry Spivak,SpecialGuest,Special Guest,Special Guest
2417,Teen Tournament winner,Sahir Islam,False,,
2140,police lieutenant,Eamon Blake,33-1012,First-Line Supervisors of Police and Detectives,Police Lieutenant
4974,trainer,Pat Roche,False,,
4975,12-year-old,Yoni Freund,SpecialGuest,Special Guest,Special Guest
4976,12-year-old,Davine Scarlett,SpecialGuest,Special Guest,Special Guest
4977,12-year-old,Robert Arshonsky,SpecialGuest,Special Guest,Special Guest
4970,from <i>The Rosie O'Donnell Show</i>...,Rosie O'Donnell,SpecialGuest,Special Guest,Special Guest
4971,construction manager,Dan Maggin,False,,
4972,journalist,Jennifer Goldberg,False,,
4973,attorney,Nan Reiner,23-MiscLaywer,MiscLawer,MiscLawyer
1920,school counselor,Debra Keil,False,,
1921,state agency director,Roger Goodman,False,,
3274,real estate agent,Ted Hawks,False,,
3275,sales administrator,Jane Giliberti,False,,
3272,retired investment banker,Ann Darby,False,,
1925,homemaker,Barbara Tarlau,Unemployed,Unemployed,Homemaker
3270,tour operator,Wendy Ball,False,,
3271,computer network administrator,Tony Kollath,False,,
1928,psychologist,Laura Brown,False,,
1929,musician,John Hurst,27-2042,Musicians and Singers,Musician
3278,project manager,Cindy Peters,False,,
3279,TV news producer,Kelly Isenor,False,,
1986,recent law school graduate,Anne Cichocki,False,,
24,commercial real estate executive,Arthur Gandolfi,False,,
25,loan accounting clerk,Steve Reynolds,False,,
26,bookstore supervisor,Seth Alcorn,False,,
3319,milk plant lab technician,Jason Aucker,False,,
3318,student,Jeremy Walker,MiscStudent,MiscStudent,Student
27,writer,Tom Walsh,27-Writer,MiscWriter,Writer
5489,accountant,Tom Morrison,13-2011,Accountants and Auditors,Accountant
5488,productivity engineer,Amanda Glaser,17-MiscEngineer,MiscEngineer,Engineer
3311,Internet software developer,Alexandra Dixon,False,,
5486,university lecturer,Kevin Finn,False,,
5485,library media specialist,Meredith Robbins,25-9011,Audio-Visual and Multimedia Collections Specialists,Library Media Specialist
5484,freelance director,Michael Jaeger,False,,
5483,compensation analyst,Denele Hamada,13-1141,"Compensation, Benefits, and Job Analysis Specialists",Compensation Analyst
5482,international sales manager,Liese Tamburrino,False,,
3317,retail manager,Evan Jones,False,,
5480,writer,Christopher Mensel,27-Writer,MiscWriter,Writer
22,college student,Keith Williams,MiscStudent,MiscStudent,Student
5581,pediatric resident,Cory Bean,False,,
1984,professor,Harvey Cormier,25-MiscTeacher,Teacher,Teacher
7515,antique textile and costume specialist,Leigh Wishner,False,,
60,12-year-old seventh grader,Emily Riippa,SpecialGuest,Special Guest,Special Guest
61,11-year-old seventh grader,Nithya Kubendran,SpecialGuest,Special Guest,Special Guest
62,12-year-old seventh grader,Jake Houser,SpecialGuest,Special Guest,Special Guest
63,11-year-old eighth grader,Tamika Turner,SpecialGuest,Special Guest,Special Guest
64,11-year-old sixth grader,Grace Thomas,SpecialGuest,Special Guest,Special Guest
65,12-year-old seventh grader,Josh Klein,SpecialGuest,Special Guest,Special Guest
66,12-year-old seventh grader,Alex Nutman,SpecialGuest,Special Guest,Special Guest
67,12-year-old seventh grader,Edward Lee,SpecialGuest,Special Guest,Special Guest
68,12-year-old seventh grader,Lorna Johnson,SpecialGuest,Special Guest,Special Guest
1985,realtor,Darrell Garrison,False,,
508,part-time teacher,Nathan Aldrich,25-MiscTeacher,Teacher,Teacher
509,senior at the University of Texas at Austin,Chacko George,TournSenior,TournStudent,Senior
506,attorney,Brad Plovan,23-MiscLaywer,MiscLawer,MiscLawyer
507,energy resources scientist,Diane Fisher,False,,
504,bookseller,Phoebe Juel,False,,
505,teacher,Steve Berman,25-MiscTeacher,Teacher,Teacher
502,library director,Harry Bork,False,,
503,college instructor,Mark Picus,25-Prof,MiscProfessor,Professor
500,executive,Jeff Stewart,False,,
501,accountant,Michael Daunt,13-2011,Accountants and Auditors,Accountant
1212,procurement manager,Gay Mollette,11-3061,Purchasing Managers,Procurement Manager
1213,environmental specialist,Laura Henne,False,,
1210,asset manager,Tim Lorch,False,,
1211,editor,Curtis Scott,False,,
1216,attorney,Glenn Salzman,23-MiscLaywer,MiscLawer,MiscLawyer
1217,aspiring writer,Donna Craig,27-Writer,MiscWriter,Writer
1214,"songwriter, vocalist, and graduate student",Alaric Smith,GradStu,Graduate student,Graduate student
1215,insurance executive,Sally Donovan,False,,
638,police lieutenant,Frank Spangenberg,33-1012,First-Line Supervisors of Police and Detectives,Police Lieutenant
639,high school principal,David Hillinck,11-9032,"Education Administrators, Elementary and Secondary School",High School Principal
1218,horse shoer,Clark Adams,False,,
1219,radio broadcast producer,Steve Ostini,False,,
6521,part-time English professor,Leigh-Anne Marcellin,25-MiscTeacher,Teacher,Teacher
6520,attorney,Kimberly Jantz,23-MiscLaywer,MiscLawer,MiscLawyer
6523,Ph.D. candidate,Shawna Brandle,False,,
6522,vacation rental manager,Ryan Swaim,False,,
6525,radiological technician,David Johnston,False,,
1983,lawyer,John Rivers,23-MiscLaywer,MiscLawer,MiscLawyer
6527,base commander,Dave Belote,False,,
6526,intellectual property lawyer,Kathleen Bursley,23-MiscLaywer,MiscLawer,MiscLawyer
6529,biology student,Todd Ryan,MiscStudent,MiscStudent,Student
6528,fund-raiser,Emily Brown,False,,
8266,museum guest relations manager,Lauren Girard,False,,
8267,online book sales director,Jeff Weber,False,,
8260,cook,Joshua Simmons,False,,
8261,reading tutor,Rayma Haas,False,,
8262,sophomore,Vandana Madhavan,TournSophomore,TournStudent,Sophomore
8263,junior,Bryan Fagan,TournJunior,TournStudent,Junior
8276,associate program manager,Mary Jo Shoop,False,,
1980,engineer,Robb Borland,17-MiscEngineer,MiscEngineer,Engineer
3869,administrative assistant,Matt Corcoran,False,,
3868,assistant professor,Deana Weibel-Swanson,25-MiscTeacher,Teacher,Teacher
3863,editor,Melissa Singer,False,,
3862,optometrist and college professor,Elizabeth Hoppe,25-MiscTeacher,Teacher,Teacher
3861,high school teacher,Lynne Kenyon,25-MiscTeacher,Teacher,Teacher
3860,operations research analyst,Ron Hankey,15-2031,Operations Research Analysts,Operations Research Analyst
3867,travel agent,Margaret Cook,41-3041,Travel Agents,Travel Agent
3866,pharmacy manager,Aron Lanza,False,,
3865,Catholic priest,Michael Kavanaugh,False,,
3864,stay-at-home mom,Kathy Robertson,Unemployed,Unemployed,stay-at-home mom
8408,senior,Jesse Roach,TournSenior,TournStudent,Senior
1981,administrative assistant,April Hahn,False,,
8400,senior at Stanford University,Bill Driscoll,TournSenior,TournStudent,Senior
8401,junior at Bowdoin College,Cindy Cammarn,TournJunior,TournStudent,Junior
8402,sophomore,Nishanth Uli,TournSophomore,TournStudent,Sophomore
8403,junior at Wellesley College,Laura Rigge,TournJunior,TournStudent,Junior
8404,sophomore,Forrest Farjadian,TournSophomore,TournStudent,Sophomore
8405,editor and writer,Noel Higgins,27-Writer,MiscWriter,Writer
8406,toy and game marketer,Lee Gelber,False,,
8407,college bookstore clerk,Sandi Engquist,False,,
7571,ethnomusicologist,James Ruchala,False,,
7570,family law attorney,Steven Maio,23-MiscLaywer,MiscLawer,MiscLawyer
7573,aspiring novelist and retired salesperson,Ann Thurlow,False,,
7572,community college instructor,Kendra Anspaugh,25-Prof,MiscProfessor,Professor
7575,attorney,Patti Clements,23-MiscLaywer,MiscLawer,MiscLawyer
7574,automotive service advisor,Sean McGuire,False,,
7577,operations manager,Mary Redling,11-1021,General and Operations Managers,Operations Manager
7576,park ranger,Clayton Hanson,False,,
7579,law student,Tim Gray,MiscStudent,MiscStudent,Student
7578,math professor,Kiran Kedlaya,25-MiscTeacher,Teacher,Teacher
8814,medical student,Matthew Church,MiscStudent,MiscStudent,Student
4152,advertising account supervisor,Matt Caporaletti,False,,
4153,singer/songwriter,Clé Holly,27-Writer,MiscWriter,Writer
4150,writer and story editor,Saran Fox,27-Writer,MiscWriter,Writer
4151,director of marketing,David Andignac,False,,
4156,marketing coordinator,Bill Frisch,False,,
4157,technical editor,Marianne Burnham,27-3041,Editors,Technical Editor
4154,customer service representative,Russell Walks,False,,
