PlayerID,Occupation,Name,MatchedSocCode,MatchedSocCore,MatchedSocTitle
6271,property manager,Marty Moran,11-9141,"Property, Real Estate, and Community Association Managers",Property Manager
6270,paralegal,Nina Sudhakar,23-2011,Paralegals and Legal Assistants,Paralegal
6273,Congressional aide,Zach Goldberg,False,,
6272,travel agent and travel writer,Rosanne Coloccia,False,,
6275,self-proclaimed gadabout,John Munson,False,,
6274,history and East Asian studies student,Emily Bruemmer,False,,
6277,13-year-old,Alycia Kennedy,False,,
6276,12-year-old,Mike Kim,False,,
6279,12-year-old,Matthew Cohn,False,,
6278,13-year-old,Adam Bock,False,,
246,junior,Steve Golden,False,,
1183,attorney,Katie Miltich,23-1011,Lawyers,Attorney
4916,junior,James Grant,False,,
3452,attorney,David Stuart,23-1011,Lawyers,Attorney
855,attorney,Bruce Clark,23-1011,Lawyers,Attorney
3450,morning show radio producer,Spencer Kane,False,,
4917,junior,Dara Lind,False,,
850,publisher and house dad,Tony Jonick,False,,
3457,computer materials manager,Lyle Hertzig,False,,
852,engineer,Chad Morgan,False,,
853,attorney,Mark Eckenwiler,23-1011,Lawyers,Attorney
3458,student,Jarma Jacobs,False,,
3459,railroad chef,Sam Varnado,False,,
858,customer relations specialist,Teresa Grasso,False,,
859,medical secretary,Jeff Corrigan,False,,
6,information manager,Laura Gustafson,False,,
8905,shovel bum,Leszek Pawlowicz,False,,
4589,high school teacher,Nafis Abdullah,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",High School Teacher
5229,moderator,Tim Russert,False,,
5228,former governor,Christie Whitman,False,,
5223,author and radio talk show host,Al Franken,False,,
5222,journalist,Gretchen Carlson,False,,
5221,news anchor,Keith Olbermann,27-3021,Broadcast News Analysts,News Anchor
5220,computer support technician,Richard Adams,False,,
5227,talk show host,Tavis Smiley,27-3011,Radio and Television Announcers,Talk Show Host
5226,network administrator,Cindy Reilly,False,,
5225,writer and editor,Tanya Tyler,False,,
5224,electronic publishing consultant,Doug Yasso,False,,
4588,psychobiologist,Rebecca Knickmeyer,False,,
